City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
Upernavik,GL,1603033547,72.79,-56.15,33.75,91,45,5.93
Grand Forks,US,1603033550,47.94,-97.43,30.2,50,90,11.41
Isangel,VU,1603033553,-19.55,169.27,70.7,71,5,5.7
Nuevitas,CU,1603033556,21.55,-77.26,78.8,88,40,11.41
Touros,BR,1603033262,-5.2,-35.46,86.0,58,75,14.99
Aleksandrov Gay,RU,1603033563,50.15,48.57,62.33,50,43,13.6
Saint George,US,1603033351,37.1,-113.58,53.6,22,1,0.76
Pevek,RU,1603033398,69.7,170.31,23.7,94,0,17.22
San Miguel de Tucumán,AR,1603033332,-26.82,-65.22,93.2,41,0,5.82
Kyren,RU,1603033575,51.68,102.14,41.11,65,49,3.67
Hobart,AU,1603033376,-42.88,147.33,51.8,66,75,8.05
New Norfolk,AU,1603033581,-42.78,147.06,50.0,71,90,1.01
Dikson,RU,1603033585,73.51,80.55,23.5,91,34,27.72
Flinders,AU,1603033588,-34.58,150.86,59.0,85,56,1.01
Simao,CN,1603033591,22.79,100.97,61.93,85,100,2.15
Mar del Plata,AR,1603033401,-38.0,-57.56,75.2,73,100,11.41
Alice Springs,AU,1603033597,-23.7,133.88,78.8,41,65,8.05
Karoi,ZW,1603033600,-16.81,29.69,85.32,14,64,7.34
Rawson,AR,1603033603,-43.3,-65.1,66.81,25,0,14.58
George Town,MY,1603033522,5.41,100.34,84.2,83,20,4.99
Manta,EC,1603033609,-0.95,-80.73,77.0,78,90,9.17
San Jerónimo,PE,1603033612,-11.95,-75.28,59.2,46,39,3.49
Mehamn,NO,1603033610,71.04,27.85,37.4,79,93,7.85
Mtwara,TZ,1603033619,-10.27,40.18,86.0,55,20,16.11
Vavuniya,LK,1603033536,8.75,80.5,75.67,94,100,3.11
Bullhead City,US,1603033539,35.15,-114.57,66.2,16,1,2.1
Nieuw Amsterdam,SR,1603033628,5.88,-55.08,93.99,63,28,5.01
Ziro,IN,1603033631,27.63,93.83,82.4,94,40,0.83
Njeru,UG,1603033634,0.42,33.17,70.57,85,99,3.27
Nanortalik,GL,1603033535,60.14,-45.24,39.81,95,79,2.3
Samarai,PG,1603033640,-10.62,150.67,79.14,89,93,8.97
Handan,CN,1603033644,36.6,114.47,60.01,37,64,4.18
Vao,NC,1603033647,-22.67,167.48,70.77,81,53,18.34
Semporna,MY,1603033650,4.48,118.61,77.0,94,20,4.7
Codrington,AU,1603033653,-38.27,141.97,45.68,94,5,7.14
Tanabe,JP,1603033656,33.73,135.37,55.0,93,30,4.45
Nacala,MZ,1603033660,-14.54,40.67,77.45,68,0,10.02
Vieste,IT,1603033663,41.88,16.18,70.0,82,40,6.93
Azle,US,1603033525,32.9,-97.55,75.99,73,40,13.87
Majene,ID,1603033669,-3.54,118.97,79.03,82,77,3.29
Saint-Augustin,CA,1603033672,51.23,-58.65,53.35,54,50,13.56
Asnæs,DK,1603033675,55.81,11.5,50.0,66,33,11.01
Qaanaaq,GL,1603033678,77.48,-69.36,34.5,84,95,7.16
Guerrero Negro,MX,1603033681,27.98,-114.06,72.9,71,2,6.42
Salalah,OM,1603033496,17.02,54.09,86.0,51,0,5.82
Ocós,GT,1603033687,14.51,-92.19,78.8,100,40,2.24
Tegul'det,RU,1603033691,57.31,88.17,32.23,90,97,13.67
Assiut,EG,1603033694,27.18,31.18,91.4,36,0,11.41
Baykit,RU,1603033697,61.67,96.37,28.85,93,87,8.63
Dibulla,CO,1603033700,11.27,-73.31,85.93,71,98,4.7
Khovd,MN,1603033703,48.01,91.64,39.47,60,0,9.01
Tasiilaq,GL,1603033706,65.61,-37.64,33.8,74,40,19.46
Kavieng,PG,1603033666,-2.57,150.8,82.33,75,8,10.49
Waddān,LY,1603033712,29.16,16.14,87.37,29,100,11.39
Thompson,CA,1603033715,55.74,-97.86,21.2,92,75,2.24
Palora,EC,1603033718,-1.7,-77.93,66.2,88,40,4.7
Najrān,SA,1603033721,17.49,44.13,80.6,15,0,9.17
Souillac,MU,1603033725,-20.52,57.52,77.0,65,40,9.17
Roebourne,AU,1603033584,-20.78,117.13,69.21,80,0,13.94
Yar-Sale,RU,1603033625,66.83,70.83,22.08,96,8,8.79
Vila Velha,BR,1603033633,-20.33,-40.29,77.0,78,75,13.87
Beringovskiy,RU,1603033737,63.05,179.32,35.04,83,69,5.88
Nioro,GM,1603033740,13.35,-15.75,97.16,38,22,7.29
Goderich,CA,1603033583,43.75,-81.72,51.01,84,100,26.04
Pangkalanbuun,ID,1603033746,-2.68,111.62,75.54,96,100,3.13
Zhigansk,RU,1603033749,66.77,123.37,12.43,95,92,4.68
Mangla,PK,1603033752,31.89,72.38,80.37,15,0,1.97
Saint Paul Harbor,US,1603033471,57.79,-152.41,39.2,86,90,5.82
Makakilo City,US,1603033759,21.35,-158.09,77.0,88,1,6.96
Hasaki,JP,1603033471,35.73,140.83,57.2,87,75,5.82
Geraldton,AU,1603033765,-28.77,114.6,66.2,88,1,9.17
Avera,US,1603033768,33.19,-82.53,60.8,63,90,8.05
Bogovarovo,RU,1603033771,58.98,47.02,37.38,92,100,11.25
Makkah al Mukarramah,SA,1603033774,21.43,39.83,87.19,26,0,8.55
Muriwai Beach,NZ,1603033777,-36.82,174.45,55.99,95,98,8.81
Richards Bay,ZA,1603033780,-28.78,32.04,81.01,64,0,6.71
Iguape,BR,1603033783,-24.71,-47.56,74.64,68,97,10.22
Lac-Mégantic,CA,1603033786,45.58,-70.88,46.4,65,20,6.11
Taoudenni,ML,1603033790,22.68,-3.98,97.39,13,0,10.71
Coquimbo,CL,1603033516,-29.95,-71.34,55.4,87,90,8.05
Praia,CV,1603033796,14.92,-23.51,87.8,70,10,11.41
Deputatsky,RU,1603033799,69.3,139.9,13.5,96,100,10.2
Shambu,ET,1603033802,9.57,37.1,55.04,100,85,1.19
Pemangkat,ID,1603033701,1.17,108.97,80.55,76,100,4.0
Longyearbyen,SJ,1603033808,78.22,15.64,28.4,74,40,12.75
Hamilton,US,1603033710,39.18,-84.53,50.0,61,90,11.41
Gribanovskiy,RU,1603033815,51.46,41.98,61.0,61,13,12.26
Hastings,GB,1603033818,50.86,0.57,57.99,60,99,1.01
Varaždin,HR,1603033756,46.3,16.34,57.0,61,11,2.01
Udachny,RU,1603033824,66.42,112.4,10.4,92,75,4.47
Bocos,PH,1603033827,16.93,121.06,64.33,95,64,0.94
Pozo Colorado,PY,1603033830,-23.49,-58.8,82.49,61,65,10.4
Bundaberg,AU,1603033833,-24.85,152.35,73.0,73,75,9.17
Fortuna,US,1603033836,40.6,-124.16,48.2,100,1,9.17
Hilo,US,1603033839,19.73,-155.09,71.6,78,1,6.93
Preobrazheniye,RU,1603033843,42.9,133.91,47.59,55,0,6.46
Orocué,CO,1603033846,4.79,-71.34,88.34,60,3,2.95
Okhotsk,RU,1603033849,59.38,143.3,25.81,84,7,13.53
Pangnirtung,CA,1603033852,66.15,-65.71,34.23,87,100,11.97
Presidente Epitácio,BR,1603033855,-21.76,-52.12,91.22,36,36,7.2
Ugoofaaru,MV,1603033858,5.67,73.0,83.1,76,100,13.8
Pisco,PE,1603033636,-13.7,-76.22,63.0,88,90,5.82
Sambava,MG,1603033865,-14.27,50.17,75.56,72,0,12.73
Byron Bay,AU,1603033744,-28.65,153.62,66.2,88,75,16.11
Phalombe,MW,1603033871,-15.81,35.65,83.1,20,1,5.84
Kargasok,RU,1603033874,59.06,80.86,29.5,94,100,21.09
Elverum,NO,1603033877,60.88,11.56,45.0,54,53,5.01
Gilbués,BR,1603033880,-9.83,-45.34,97.92,22,65,8.41
Bethel,US,1603033883,41.37,-73.41,55.99,75,1,3.36
Faanui,PF,1603033594,-16.48,-151.75,78.71,82,12,8.68
Dakar,SN,1603033756,14.69,-17.44,89.6,70,0,4.7
Qaqortoq,GL,1603033745,60.72,-46.03,39.2,96,44,3.36
Bani Walid,LY,1603033896,31.76,13.99,72.28,47,100,16.53
Barranca,PE,1603033899,-10.75,-77.77,65.73,72,96,7.65
Asti,IT,1603033841,44.9,8.21,61.0,70,3,3.83
São João da Barra,BR,1603033905,-21.64,-41.05,77.0,65,75,9.17
Rosario,AR,1603033835,-32.95,-60.64,93.99,52,0,18.34
Nuuk,GL,1603033614,64.18,-51.72,42.8,87,75,2.24
Uspenka,UA,1603033914,48.39,39.16,60.46,49,42,8.5
Severo-Kuril'sk,RU,1603033917,50.68,156.12,45.43,82,40,10.02
Marsá Maţrūḩ,EG,1603033920,31.35,27.25,86.0,45,29,5.82
Olafsvik,IS,1603033739,64.89,-23.71,38.71,76,79,27.96
Yaan,NG,1603033927,7.38,8.57,83.08,71,75,4.54
Kumul,CN,1603033930,42.8,93.45,49.77,39,100,3.29
Polazna,RU,1603033933,58.29,56.41,33.8,100,75,13.42
Husavik,IS,1603033936,66.04,-17.34,42.8,81,75,12.75
Portland,US,1603033788,45.52,-122.68,57.2,62,90,5.44
Charlestown,AU,1603033752,-32.95,151.67,64.0,96,100,3.0
Russell,US,1603033945,32.35,-85.2,64.0,63,1,4.7
Thinadhoo,MV,1603033659,0.53,72.93,84.0,76,74,16.93
Tanah Merah,MY,1603033951,5.8,102.15,78.8,94,20,3.36
Behshahr,IR,1603033954,36.69,53.55,69.8,56,0,4.7
Opuwo,NA,1603033957,-18.06,13.84,98.37,9,0,11.95
Nishihara,JP,1603033960,26.18,127.76,78.8,88,20,6.93
Usinsk,RU,1603033964,65.99,57.53,26.78,97,26,8.7
Koygorodok,RU,1603033967,60.45,51.0,32.27,98,100,12.26
Port Hardy,CA,1603033970,50.7,-127.42,46.4,93,90,8.05
Klaksvík,FO,1603033973,62.23,-6.59,39.2,93,100,9.17
Shirokiy,RU,1603033976,49.76,129.52,31.05,88,58,6.46
Itarema,BR,1603033979,-2.92,-39.92,89.06,44,89,17.2
Curvelo,BR,1603033697,-18.76,-44.43,82.45,45,44,7.14
Katsuura,JP,1603033985,35.13,140.3,59.0,82,40,9.17
Camacha,PT,1603033988,33.08,-16.33,71.6,88,75,24.16
Tūkrah,LY,1603033991,32.53,20.58,73.27,79,100,15.3
Laguna,US,1603033995,38.42,-121.42,57.99,66,1,1.32
Matagami,CA,1603033998,49.75,-77.63,44.6,93,90,17.22
Iskateley,RU,1603034001,67.68,53.15,29.16,95,0,4.92
Östersund,SE,1603034004,63.18,14.64,32.0,90,0,17.22
Marawi,PH,1603034007,8.0,124.29,77.0,94,97,3.0
Kapit,MY,1603034010,2.02,112.93,74.66,93,68,0.58
Los Llanos de Aridane,ES,1603034013,28.66,-17.92,77.0,73,40,23.04
Comodoro Rivadavia,AR,1603034016,-45.87,-67.5,62.6,27,0,35.57
Ancud,CL,1603034019,-41.87,-73.82,57.99,71,40,20.8
Hoquiam,US,1603034022,46.98,-123.89,60.01,77,90,23.04
Daru,PG,1603034025,-9.08,143.21,78.73,86,99,13.29
Hokitika,NZ,1603033763,-42.72,170.97,52.07,94,100,10.47
Raudeberg,NO,1603034032,61.99,5.14,42.8,70,40,6.93
Mount Gambier,AU,1603034035,-37.83,140.77,46.4,93,40,5.82
Ostrovnoy,RU,1603034038,68.05,39.51,34.23,86,67,13.8
Marabu,MY,1603034041,4.41,114.01,80.6,88,20,3.36
Lolodorf,CM,1603034044,3.23,10.73,78.1,87,99,3.0
Douentza,ML,1603034047,15.0,-2.95,102.83,12,3,10.29
Katrineholm,SE,1603034050,59.0,16.21,46.4,45,89,17.22
Khuzdar,PK,1603034053,27.74,66.64,68.0,17,0,6.85
Antofagasta,CL,1603034056,-23.65,-70.4,68.0,93,90,5.82
Mookane,BW,1603034059,-23.69,26.66,96.85,12,0,3.6
Sayansk,RU,1603034062,54.11,102.16,42.08,76,99,4.74
Ulaangom,MN,1603034066,49.98,92.07,35.22,84,100,0.74
Churapcha,RU,1603034069,62.0,132.43,11.16,96,92,6.29
Pacific Grove,US,1603033979,36.62,-121.92,55.4,66,1,1.72
Lompoc,US,1603034075,34.64,-120.46,53.6,87,1,4.52
College,US,1603034078,64.86,-147.8,21.0,66,75,1.57
Cherskiy,RU,1603034081,68.75,161.3,20.25,92,74,8.68
Kruisfontein,ZA,1603034084,-34.0,24.73,66.99,56,43,8.01
Brae,GB,1603034087,60.4,-1.35,44.6,65,20,3.36
Seoul,KR,1603033819,37.57,126.98,51.8,87,1,2.26
Broome,US,1603034093,42.25,-75.83,53.01,52,1,5.82
Amalāpuram,IN,1603034096,16.58,82.02,80.6,88,75,5.82
Chililabombwe,ZM,1603034100,-12.36,27.82,84.88,27,12,4.97
Grootfontein,NA,1603034103,-19.57,18.12,94.53,9,0,13.35
Upington,ZA,1603034106,-28.45,21.26,93.2,5,16,8.05
Carbonia,IT,1603034109,39.17,8.52,69.8,56,40,9.17
Nampula,MZ,1603034112,-15.12,39.27,89.01,27,4,6.93
Lorengau,PG,1603034115,-2.02,147.27,82.11,80,3,8.57
Kahului,US,1603034118,20.89,-156.47,77.0,78,40,4.7
Verkh-Usugli,RU,1603034122,52.7,115.17,30.94,98,85,3.0
Aklavik,CA,1603034125,68.22,-135.01,8.6,84,20,3.36
Bjørkelangen,NO,1603034128,59.88,11.57,48.99,17,0,6.87
Port Lincoln,AU,1603034131,-34.73,135.87,52.56,77,0,10.13
Millbrook,US,1603034134,32.48,-86.36,66.0,72,1,8.05
Ponta Delgada,PT,1603034137,37.73,-25.67,62.6,63,40,11.41
Tucumã,BR,1603034140,-0.18,-50.05,92.19,45,38,7.58
Malakal,SS,1603034144,9.53,31.66,78.31,82,47,6.76
Shimoda,JP,1603034147,34.67,138.95,55.0,68,37,8.25
Aitape,PG,1603034150,-3.14,142.35,77.95,85,97,2.66
Nyurba,RU,1603034153,63.28,118.33,14.79,94,0,2.53
Vanavara,RU,1603034156,60.34,102.28,39.45,94,100,9.19
Beipiao,CN,1603034159,41.79,120.78,48.51,48,0,4.79
Bagacay,PH,1603034162,12.98,124.14,83.46,77,100,11.12
Poum,NC,1603034165,-20.23,164.02,73.31,71,0,17.16
Lagoa,PT,1603034168,39.05,-27.98,62.17,61,56,15.17
Bay Roberts,CA,1603034171,47.6,-53.26,62.01,63,20,5.82
São Filipe,CV,1603034175,14.9,-24.5,81.52,76,51,4.23
Prado,BR,1603034178,-17.34,-39.22,78.15,69,15,12.01
Mogocha,RU,1603034181,53.73,119.77,25.38,90,80,2.33
Iroquois Falls,CA,1603034184,48.77,-80.68,42.8,81,90,10.29
New Richmond,US,1603034187,45.12,-92.54,32.0,76,1,14.99
Rybnaya Sloboda,RU,1603034190,55.46,50.14,41.0,80,75,15.66
Broken Hill,AU,1603034193,-31.95,141.43,53.6,62,0,1.12
Boden,SE,1603034196,65.83,21.69,30.2,92,90,17.22
Sorong,ID,1603034199,-0.88,131.25,77.49,88,100,8.28
Aksu,CN,1603034203,41.12,80.26,53.83,39,0,1.9
Angoche,MZ,1603034206,-16.23,39.91,76.66,70,2,11.18
Xinqing,CN,1603034209,48.23,129.5,27.1,87,4,4.14
Antalaha,MG,1603034212,-14.9,50.28,75.16,73,0,11.74
Manaus,BR,1603034215,-3.1,-60.02,89.6,70,20,4.7
Dunedin,NZ,1603034209,-45.87,170.5,48.99,89,100,1.99
Shreveport,US,1603034150,32.53,-93.75,71.6,88,90,10.29
Tamiahua,MX,1603034224,21.27,-97.45,77.59,79,0,3.18
Saldanha,ZA,1603034098,-33.01,17.94,69.8,46,33,17.22
Yuncheng,CN,1603034149,35.02,110.99,58.19,43,68,2.33
Panzhihua,CN,1603034234,26.59,101.71,67.33,67,100,0.76
Muzhi,RU,1603034237,65.37,64.67,26.35,93,0,12.15
Kalmunai,LK,1603034240,7.42,81.82,81.28,79,100,6.64
Mareeba,AU,1603034243,-17.0,145.43,70.0,88,90,3.11
Ust'-Omchug,RU,1603034246,61.15,149.63,19.78,94,87,1.39
Road Town,VG,1603034250,18.42,-64.62,86.0,70,40,4.7
Naze,JP,1603034253,28.37,129.48,75.2,94,90,24.16
Gunjur,GM,1603034256,13.2,-16.73,93.2,67,20,5.82
Birao,CF,1603034259,10.28,22.79,91.51,36,0,1.66
Hong Kong,HK,1603033966,22.29,114.16,75.0,85,61,1.01
Padang,ID,1603034176,-0.95,100.35,79.59,75,52,3.15
Ninove,BE,1603034268,50.83,4.0,53.01,86,99,4.54
Tocopilla,CL,1603034271,-22.09,-70.2,67.41,47,20,6.76
Tahe,CN,1603034274,52.33,124.73,28.09,89,100,2.3
Shedok,RU,1603034277,44.22,40.85,63.91,44,82,0.22
Dhanwār,IN,1603034280,24.42,85.98,78.28,60,0,1.36
Moose Factory,CA,1603034284,51.26,-80.61,39.2,93,90,19.46
Khandyga,RU,1603034287,62.67,135.6,17.04,97,99,3.13
Bealanana,MG,1603034290,-14.55,48.73,68.72,60,0,7.63
San Miguel de Cozumel,MX,1603034112,20.51,-86.95,84.2,79,40,12.91
Lengshuijiang,CN,1603034296,27.69,111.43,54.66,85,62,2.44
Chivay,PE,1603034299,-15.64,-71.6,55.31,32,0,2.17
Novy Urengoy,RU,1603034163,66.08,76.63,23.52,95,83,17.0
Cedral,MX,1603034305,23.8,-100.73,64.72,60,4,1.36
Kudahuvadhoo,MV,1603034308,2.67,72.89,83.23,78,52,15.61
North Bend,US,1603034311,43.41,-124.22,51.01,100,90,3.36
Savannakhet,LA,1603034314,16.57,104.75,67.5,96,100,9.33
Bowen,AU,1603034318,-20.02,148.23,62.6,82,0,2.24
Zhezkazgan,KZ,1603034321,47.8,67.71,52.9,50,0,13.15
Muros,ES,1603034324,42.78,-9.06,71.01,64,98,5.01
Clyde River,CA,1603034327,70.47,-68.59,26.6,79,1,2.24
Sidi Ali,DZ,1603034330,36.1,0.42,72.03,33,0,13.27
Constitución,CL,1603034333,-35.33,-72.42,59.99,58,0,14.45
Sukumo,JP,1603034336,32.93,132.73,58.73,80,7,3.56
Krasnosel'kup,RU,1603034339,65.7,82.47,18.59,96,97,21.56
Norrtälje,SE,1603034342,59.76,18.7,42.01,65,94,8.99
Ossora,RU,1603034345,59.24,163.07,36.05,81,100,9.71
Seymchan,RU,1603034348,62.88,152.43,23.34,84,100,2.82
Lithakia,GR,1603034241,37.72,20.83,71.6,53,20,8.05
Addanki,IN,1603034355,15.82,79.98,79.59,86,97,3.47
Tandil,AR,1603034358,-37.32,-59.13,81.82,61,64,6.55
Tautira,PF,1603034361,-17.73,-149.15,73.4,88,20,3.36
Portsmouth,GB,1603034306,50.8,-1.09,55.0,73,75,3.56
Trencin,SK,1603034367,48.83,18.25,52.0,90,87,2.39
Usakos,NA,1603034370,-22.0,15.6,98.56,11,0,19.24
Port Augusta,AU,1603034373,-32.5,137.77,55.4,71,0,9.17
